file_name	seed	formula_x	formula_y
2021-10-11-21-33_seed_3151.png	3151	runif(1, -50, 20) * x_i^2 - cos(x_i^2)	runif(1, -5, 20) * y_i^2 * sin(y_i^2)
2021-10-11-21-33_seed_5479.png	5479	runif(1, -50, 20) * x_i^3 - cos(x_i^2)	runif(1, -5, 20) * y_i^2 * sin(y_i^2)
2021-10-11-21-33_seed_5479.png	5479	runif(1, -50, 20) * x_i^3 - cos(x_i^2)	runif(1, -5, 20) * y_i^2 * sin(y_i^3)
2021-10-11-21-34_seed_5479.png	5479	runif(1, -50, 20) * x_i^3 - cos(x_i^2)	runif(1, -5, 20) * y_i^2 * sqrt(sin(y_i^3))
2021-10-11-21-34_seed_5479.png	5479	runif(1, -50, 20) * x_i^3 - sin(x_i^2)	runif(1, -5, 20) * y_i^2 * cos(y_i^3)
2021-10-11-21-35_seed_1119.png	1119	runif(1, -50, 20) * x_i^3 - sin(x_i^2)	runif(1, -5, 20) * y_i^2 * cos(y_i^3)
2021-10-11-21-35_seed_8149.png	8149	runif(1, -50, 20) * x_i^3 - sin(x_i^2)	runif(1, -5, 20) * y_i^2 * cos(y_i^3)
2021-10-11-21-35_seed_1119.png	1119	runif(1, -50, 20) * x_i^3 - sin(x_i^2)	runif(1, -5, 20) * y_i^2 - cos(y_i^3)
2021-10-11-21-35_seed_1119.png	1119	runif(1, -50, 20) * x_i^3 - sin(x_i^2)	runif(1, -5, 20) * y_i^3 - cos(y_i^3)
2021-10-11-21-37_seed_1119.png	1119	runif(1, -50, 20) * x_i^3 + sin(x_i^2)	runif(1, -5, 20) * y_i^3 - cos(y_i^3)
2021-10-11-21-37_seed_1119.png	1119	runif(1, -50, 20) * x_i^3 + sin(x_i^2)	runif(20, -5, 20) * y_i^3 - cos(y_i^3)
2021-10-11-21-38_seed_6667.png	6667	runif(1, -50, 20) * x_i^3 + sin(x_i^2)	runif(20, -5, 20) * y_i^3 - cos(y_i^3)
2021-10-11-21-40_seed_6667.png	6667	runif(1, -50, 20) * x_i^3 + sin(pi)	runif(20, -5, 20) * y_i^3 - cos(pi)
2021-10-11-21-40_seed_6667.png	6667	runif(1, -50, 20) * x_i^3 + sin(pi/2)	runif(20, -5, 20) * y_i^3 - cos(pi * 2)
2021-10-11-21-41_seed_6667.png	6667	runif(1, -50, 20) * x_i^3 + sin(pi/2)	runif(20, -5, 20) * y_i^5 - cos(pi * 2)
2021-10-11-21-51_seed_4366.png	4366	runif(1, -2, 3) * x_i^2 - sin(y_i^2)	runif(1, -2, 3) * y_i^3 - cos(x_i^2)
2021-10-11-21-51_seed_2781.png	2781	runif(1, -2, 3) * x_i^2 - sin(y_i^2)	runif(1, -2, 3) * y_i^3 - cos(x_i^2)
2021-10-11-21-51_seed_2646.png	2646	runif(1, -2, 3) * x_i^2 - sin(y_i^2)	runif(1, -2, 3) * y_i^3 - cos(x_i^2)
2021-10-11-21-51_seed_3905.png	3905	runif(1, -2, 3) * x_i^2 - sin(y_i^2)	runif(1, -2, 3) * y_i^3 - cos(x_i^2)
2021-10-11-21-51_seed_113.png	113	runif(1, -2, 3) * x_i^2 - sin(y_i^2)	runif(1, -2, 3) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_7858.png	7858	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_1507.png	1507	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_8713.png	8713	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_6414.png	6414	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
2021-10-11-21-52_seed_2501.png	2501	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^2)
